Player,Position,Salary [$],Floor,Mean,Ceiling,SD,Risk,Tier,PPD
Dustin Hopkins (WAS),K,1,119,127,134,6.3,4.37,3,127
Chris Boswell (PIT),K,1,120,127,135,5.67,3.51,3,127
Eagles (PHI),DST,1,94.8,127,167,27.9,7.2,11,127
Zack Moss (BUF),RB,3,97.2,126,158,25.1,4.34,9,42
J.D. McKissic (WAS),RB,2,108,126,147,12.5,3.48,9,63
T.Y. Hilton (IND),WR,2,108,126,146,13.8,4.48,8,63
Tre'Quan Smith (NO),WR,2,79.6,126,157,30.8,5.55,8,63
Jalen Reagor (PHI),WR,2,102,126,148,19,4.14,8,63
Panthers (CAR),DST,1,98.2,125,144,20.7,7.09,12,125
Devin Singletary (BUF),RB,3,106,124,150,16.8,3.23,9,41.3
David Johnson (HOU),RB,2,77.2,124,176,32.2,5.94,9,62
Christian Kirk (ARI),WR,2,79.7,124,148,27.8,4.91,9,62
Sam Ficken (TEN),K,1,107,123,138,11.6,5.47,3,123
James Conner (ARI),RB,3,76.9,122,150,25.6,4.45,10,40.7
Josh Lambo (JAC),K,1,108,122,138,11,4.4,4,122
Giants (NYG),DST,1,102,122,144,16.5,5.76,13,122
Jared Cook (LAC),TE,1,105,121,140,12.5,3.41,6,121
Nyheim Hines (IND),RB,2,103,119,133,11.3,2.83,10,59.5
Jamaal Williams (DET),RB,3,99.7,119,140,15.1,3.12,10,39.7
Kaimi Fairbairn (HOU),K,1,91.3,119,134,18.2,6.71,4,119
Titans (TEN),DST,1,92.1,119,133,17.4,5.15,14,119
Jimmy Garoppolo (SF),QB,2,10,118,252,89,8.63,14,59
Kenyan Drake (LVR),RB,3,81,117,135,20.9,3.97,10,39
Jonnu Smith (NE),TE,2,102,117,129,11,2.62,6,58.5
Evan Engram (NYG),TE,2,104,117,134,10.9,2.81,7,58.5
Ty'Son Williams (BAL),RB,1,97.9,116,127,16.4,5.55,10,116
Broncos (DEN),DST,1,95.4,116,146,22.2,6.62,15,116
Sony Michel (LAR),RB,3,68.4,115,134,22.9,4.89,10,38.3
Gabriel Davis (BUF),WR,1,59.4,115,184,43.7,6.72,9,115
Austin Seibert (CIN),K,1,98.4,115,148,19.6,5.37,4,115
James White (NE),RB,2,85.4,114,141,20.9,4.48,10,57
A.J. Green (ARI),WR,2,105,114,122,7.67,3.12,9,57
Rob Gronkowski (TB),TE,2,92.7,114,129,12.2,3.11,7,57
Wil Lutz (NO),K,1,95.8,114,158,23.8,8.49,5,114
Chargers (LAC),DST,1,86.3,114,140,21.7,5.16,16,114
Randall Cobb (GB),WR,2,59.4,112,158,34.5,5.78,9,56
Anthony Firkser (TEN),TE,2,102,112,130,10.3,3.71,7,56
Tony Pollard (DAL),RB,2,74.8,111,125,17.4,3.54,10,55.5
Dez Fitzpatrick (TEN),WR,1,,111,,,6.01,9,111
Austin Hooper (CLE),TE,2,92.7,111,127,13.7,3.62,7,55.5
Michael Carter (NYJ),RB,3,54,110,159,39.9,6.32,10,36.7
Jeffery Wilson (SF),RB,1,71.4,109,149,56.7,9.95,10,109
Darius Slayton (NYG),WR,1,93.9,109,122,10.3,3.23,9,109
Hunter Henry (NE),TE,2,52.9,109,145,31.9,6.14,7,54.5
Marquez Valdes-Scantling (GB),WR,2,46.7,108,152,36.4,5.72,9,54
Latavius Murray (NO),RB,1,77.8,106,130,27.9,7.84,10,106
Vikings (MIN),DST,1,69,106,141,27.8,6.16,17,106
Jake Elliott (PHI),K,1,92.5,105,124,12.8,5.38,5,105
Jets (NYJ),DST,1,75.3,105,126,20.7,5.52,18,105
Todd Gurley (FA),RB,1,,104,,,5.85,10,104
Hunter Renfrow (LVR),WR,1,77.9,104,124,17.8,4.19,9,104
Zach Ertz (PHI),TE,1,58.7,104,128,26,5.68,7,104
Eric Ebron (PIT),TE,2,67.2,104,133,20.8,4.98,8,52
Amon-Ra St. Brown (DET),WR,1,34.4,103,147,39.9,6.48,9,103
Tevin Coleman (NYJ),RB,2,80,102,116,13.4,4.02,10,51
Allen Lazard (GB),WR,1,70.4,102,130,24.2,4.7,10,102
Andy Dalton (CHI),QB,1,7.55,101,258,108,8.96,14,101
Greg Joseph (MIN),K,1,15.7,101,131,47.1,8.03,6,101
Phillip Lindsay (HOU),RB,2,52.6,100,133,30.9,5.35,11,50
Sammy Watkins (BAL),WR,1,83.8,100,115,13.9,3.74,10,100
Zach Pascal (IND),WR,1,53.7,97.9,123,32.1,5.79,10,97.9
Taysom Hill (NO),QB,1,19.3,96.7,191,60.2,6.85,15,96.7
Cole Kmet (CHI),TE,1,67.1,96.5,135,22.5,5.08,8,96.5
DeSean Jackson (LAR),WR,1,28.4,96.2,157,49.3,6.94,10,96.2
KJ Hamler (DEN),WR,1,65.6,96,162,35,5.74,10,96
AJ Dillon (GB),RB,3,68.1,95.2,123,20.7,4.03,11,31.7
Parris Campbell (IND),WR,2,39.3,94.8,139,36.6,5.89,10,47.4
Alexander Mattison (MIN),RB,2,65.2,92.6,118,18.8,3.93,11,46.3
Anthony Miller (HOU),WR,1,66.4,92.1,122,22.4,4.61,10,92.1
Josh Reynolds (TEN),WR,1,57.7,91.7,126,28.4,5.11,10,91.7
Blake Jarwin (DAL),TE,1,62.2,91.1,124,22.8,4.82,8,91.1
Chris Conley (HOU),WR,1,57.6,89.6,127,32.5,6.26,10,89.6
Bryan Edwards (LVR),WR,2,56,89.4,132,30.9,5.59,10,44.7
Demarcus Robinson (KC),WR,1,63,89.4,150,32.1,6.06,10,89.4
Drew Lock (DEN),QB,1,13.2,89.2,218,92,8.21,16,89.2
Jack Doyle (IND),TE,1,57.3,88.9,122,23.4,5.43,8,88.9
Giovani Bernard (TB),RB,2,68.4,88.8,125,24.1,5.44,11,44.4
